Order #,Order Date,First Name,Last Name,Email,Quantity,Ticket Type,Order Type,Total Paid,Eventbrite Fees,Eventbrite Payment Processing,Attendee Status,Country,Is all of the above information in English?,Billing Address 1,Billing Address 2,Billing City,Billing State,Billing Zip,Billing Country,Job Title,Company,Website,Username
,,,,h13a@mail.tbb.com.tw1,,moon_pass,,,,,,,,,,,,,,,,,h13a@mail.tbb.com.tw1
,,,,h13a@mail.tbb.com.tw2,,moon_pass,,,,,,,,,,,,,,,,,h13a@mail.tbb.com.tw2
,,,,h13a@mail.tbb.com.tw3,,moon_pass,,,,,,,,,,,,,,,,,h13a@mail.tbb.com.tw3
,,,,h13a@mail.tbb.com.tw4,,moon_pass,,,,,,,,,,,,,,,,,h13a@mail.tbb.com.tw4
,,,,h13a@mail.tbb.com.tw5,,moon_pass,,,,,,,,,,,,,,,,,h13a@mail.tbb.com.tw5
,,,,h13a@mail.tbb.com.tw6,,moon_pass,,,,,,,,,,,,,,,,,h13a@mail.tbb.com.tw6
,,,,h13a@mail.tbb.com.tw7,,moon_pass,,,,,,,,,,,,,,,,,h13a@mail.tbb.com.tw7
,,,,h13a@mail.tbb.com.tw8,,moon_pass,,,,,,,,,,,,,,,,,h13a@mail.tbb.com.tw8
,,,,h13a@mail.tbb.com.tw9,,moon_pass,,,,,,,,,,,,,,,,,h13a@mail.tbb.com.tw9
,,,,h13a@mail.tbb.com.tw10,,moon_pass,,,,,,,,,,,,,,,,,h13a@mail.tbb.com.tw10
,,,,h13a@mail.tbb.com.tw11,,moon_pass,,,,,,,,,,,,,,,,,h13a@mail.tbb.com.tw11
,,,,h13a@mail.tbb.com.tw12,,moon_pass,,,,,,,,,,,,,,,,,h13a@mail.tbb.com.tw12
,,,,h13a@mail.tbb.com.tw13,,moon_pass,,,,,,,,,,,,,,,,,h13a@mail.tbb.com.tw13
,,,,h13a@mail.tbb.com.tw14,,moon_pass,,,,,,,,,,,,,,,,,h13a@mail.tbb.com.tw14
,,,,h13a@mail.tbb.com.tw15,,moon_pass,,,,,,,,,,,,,,,,,h13a@mail.tbb.com.tw15
,,,,h13a@mail.tbb.com.tw16,,moon_pass,,,,,,,,,,,,,,,,,h13a@mail.tbb.com.tw16
,,,,h13a@mail.tbb.com.tw17,,moon_pass,,,,,,,,,,,,,,,,,h13a@mail.tbb.com.tw17
,,,,h13a@mail.tbb.com.tw18,,moon_pass,,,,,,,,,,,,,,,,,h13a@mail.tbb.com.tw18
,,,,h13a@mail.tbb.com.tw19,,moon_pass,,,,,,,,,,,,,,,,,h13a@mail.tbb.com.tw19
,,,,h13a@mail.tbb.com.tw20,,moon_pass,,,,,,,,,,,,,,,,,h13a@mail.tbb.com.tw20
